intent,question,
Send Email,Please send an email to the team with the new updates.,
Send Email,Can you send an email to the client with the proposal?,
Send Email,Send an email to my professor about my project.,
Send Email,Can you email the invitation to my birthday party?,
Send Email,Please send an email confirming my reservation.,
Check Fitness,How many steps have I taken today?,
Check Fitness,What?s my step count so far?,
Check Fitness,How many calories have I burned today?,
Check Fitness,Can you tell me how many minutes I?ve exercised today?,
Check Fitness,Please show me my workout progress.,
Check Fitness,How many steps do I need to reach my goal?,
Check Fitness,Can you tell me how much I?ve walked today?,
Check Fitness,What?s my total distance for today?s walk?,
Check Fitness,How much more exercise do I need today?,
Check Fitness,Can you tell me how many hours I?ve been active today?,
Check News,What?s the latest news on sports?,
Check News,Can you give me the latest updates on politics?,
Check News,What?s the top trending story right now?,
Check News,Please tell me the news on tech innovations.,
Check News,What?s happening in the entertainment world?,
Check News,Can you provide the news from around the world today?,
Check News,What?s the latest news on COVID-19?,
Check News,Please show me the headlines for today.,
Check News,Can you tell me what?s trending on Twitter?,
Check News,Please find me the most important news of the day.,
Send Location,Can you send my location to Sarah?,
Send Location,Please send my current location to John.,
Send Location,Send my location to my friend on WhatsApp.,
Send Location,Can you share my GPS coordinates with my family?,
Send Location,Please send my address to Lisa.,
Send Location,Can you share my location with Bob right now?,
Send Location,Please send my location through email.,
Send Location,Send my current position to the Uber driver.,
Send Location,Can you share my location with the team?,
Send Location,Send my coordinates to the delivery driver.,
Track Package,Where is my package right now?,
Track Package,Can you tell me the status of my delivery?,
Track Package,What?s the estimated arrival time for my order?,
Track Package,Please track my parcel from Amazon.,
Track Package,Can you show me the tracking information for my order?,
Track Package,Where is my shipment currently located?,
Track Package,Please provide an update on my order status.,
Track Package,Can you track my package that?s arriving tomorrow?,
Track Package,Please find the tracking details for my delivery.,
Track Package,What time is my package arriving today?,
Check Traffic,What?s the traffic like on my way to work?,
Check Traffic,How is the traffic around downtown right now?,
Check Traffic,Can you check if there are any roadblocks on my route?,
Check Traffic,What?s the current traffic situation on Highway 101?,
Check Traffic,Please show me the traffic in my area.,
Check Traffic,Is there heavy traffic near the airport?,
Check Traffic,Can you check traffic on my way to the gym?,
Check Traffic,What is the fastest route to downtown right now?,
Check Traffic,Please tell me if there?s any traffic on my route home.,
Check Traffic,How long will it take to get to the office with current traffic?,
Read News,Can you read me the latest news on politics?,
Read News,Please read the top headlines for today.,
Read News,Can you read me the weather forecast for the weekend?,
Read News,Please tell me about the latest tech developments.,
Read News,Can you read me the breaking news right now?,
Read News,Please read the top sports story today.,
Read News,Can you read me some entertainment news?,
Read News,Please read the financial news updates.,
Read News,Can you read me the local news from my city?,
Read News,Please read the top news from around the world.,
Set Reminder,Remind me to take my medicine at 9 AM.,
Set Reminder,Can you remind me to water the plants tomorrow?,
Set Reminder,Please remind me to call the plumber at 2 PM.,
Set Reminder,Set a reminder for me to meet with the client at 3 PM.,
Set Reminder,Remind me to book a flight for my vacation.,
Set Reminder,Please remind me to check the car?s oil at 11 AM.,
Set Reminder,Remind me to call the insurance company at 5 PM.,
Set Reminder,Please set a reminder for me to schedule the dentist appointment.,
Set Reminder,Can you remind me to buy groceries after work?,
Set Reminder,Set a reminder for me to take a break at noon.,
Make Payment,Can you pay my electricity bill for me?,
Make Payment,Please make a payment to my credit card.,
Make Payment,Can you pay the rent using my bank account?,
Make Payment,Please pay for my subscription renewal.,
Make Payment,Can you pay the internet bill for this month?,
Make Payment,Please make a payment for my gym membership.,
Make Payment,Can you transfer money to my friend?s account?,
Make Payment,Please pay the monthly installment for my loan.,
Make Payment,Can you pay my phone bill using my debit card?,
Make Payment,Please pay the tuition fee for my course.,
Check Account,Can you check my bank account balance?,
Check Account,How much money is in my savings account?,
Check Account,Can you check the transactions in my checking account?,
Check Account,Please show me my recent account activity.,
Check Account,How much do I have in my account right now?,
Check Account,Can you check the balance of my credit card?,
Check Account,Please tell me if my paycheck has been deposited.,
Check Account,How much interest did I earn on my account this month?,
Check Account,Can you give me the details of my recent deposits?,
Check Account,How much money was withdrawn from my account last week?,
Find Contact,Can you find Jake?s contact number for me?,
Find Contact,Please show me Sarah?s email address.,
Find Contact,Can you find my colleague?s phone number?,
Find Contact,Please find the contact details for my friend Alice.,
Find Contact,Can you find Bob?s address in my contacts?,
Find Contact,Please show me Emily?s Skype ID.,
Find Contact,Can you look up John?s work number for me?,
Find Contact,Please find the contact information for my lawyer.,
Find Contact,Can you give me the contact details of the hotel?,
Find Contact,Please find the customer service number for Amazon.,
Track Exercise,How many calories did I burn during my workout?,
Track Exercise,Can you track how many miles I ran today?,
Track Exercise,Please tell me how many push-ups I did.,
Track Exercise,Can you show me how many steps I walked today?,
Track Exercise,How many minutes have I spent on the treadmill today?,
Track Exercise,Please track my cycling distance for today.,
Track Exercise,Can you show me the total time I spent exercising today?,
Track Exercise,Please track my swimming laps today.,
Track Exercise,Can you tell me my heart rate during my workout?,
Track Exercise,Please track how many squats I did today.,
Order Food,Can you order pizza for me from Domino?s?,
Order Food,Please order sushi from the restaurant near me.,
Order Food,Can you place an order for Chinese food delivery?,
Order Food,Please order a burger and fries from the local diner.,
Order Food,Can you order ice cream for me from the nearby shop?,
Order Food,Please place an order for a salad and sandwich.,
Order Food,Can you order a latte from the coffee shop?,
Order Food,Please order a vegetarian meal from the restaurant.,
Order Food,Can you order some snacks for the party?,
Order Food,Please order a vegetarian pizza with extra cheese.,
Set Do Not Disturb,Can you set my phone to Do Not Disturb mode?,
Set Do Not Disturb,Please turn on Do Not Disturb for one hour.,
Set Do Not Disturb,Set Do Not Disturb mode for 30 minutes.,
Set Do Not Disturb,Can you turn off notifications for the next 3 hours?,
Set Do Not Disturb,Please set my phone to silent for the meeting.,
Set Do Not Disturb,Can you activate Do Not Disturb during my workout?,
Set Do Not Disturb,Please turn on Do Not Disturb for the night.,
Set Do Not Disturb,Can you set my phone to Do Not Disturb when I?m driving?,
Set Do Not Disturb,Please turn on Do Not Disturb while I sleep.,
Set Do Not Disturb,Can you activate Do Not Disturb for my study session?,
Check Storage,How much storage do I have left on my phone?,
Check Storage,Can you tell me how much space is available on my device?,
Check Storage,Please check how much free storage I have.,
Check Storage,How much space is taken up by apps on my phone?,
Check Storage,Can you show me the available storage on my phone?,
Check Storage,Please check the storage usage for photos and videos.,
Check Storage,Can you tell me how much storage is occupied by music?,
Check Storage,Please check the storage used by downloaded files.,
Check Storage,How much storage do I need to clear up to install the app?,
Check Storage,Can you check if there?s enough storage for new apps?,
Send Money,Can you send $50 to my friend via Venmo?,
Send Money,Please transfer $100 to my PayPal account.,
Send Money,Can you send $200 to my friend?s bank account?,
Send Money,Please send me $10 through Cash App.,
Send Money,Can you send $500 to my PayPal account for my rent?,
Send Money,Please transfer $20 to my savings account.,
Send Money,Can you send $10 to my roommate for groceries?,
Send Money,Please transfer $50 from my checking account to my savings.,
Send Money,Can you send $300 to my business account?,
Send Money,Please transfer $75 to my friend via Google Pay.,
Set Language,Can you change the language to Spanish?,
Set Language,Please switch the language to French.,
Set Language,Can you set the language to German for me?,
Set Language,Please change the language to Italian.,
Set Language,Can you set the language to Chinese?,
Set Language,Please switch the app language to Japanese.,
Set Language,Can you change the language to Hindi?,
Set Language,Please set the language to Russian.,
Set Language,Can you change the language to Portuguese?,
Set Language,Please set the language to Arabic.,
